"ASVID"	"AS1A1"	"AS1A2"	"AS1A3"	"AS1B1"	"AS1B2"	"AS1B3"	"AS1C1"	"AS1C2"	"AS1C3"	"AS2A1"	"AS2A2"	"AS2A3"	"AS2B1"	"AS2B2"	"AS2B3"	"AS2C1"	"AS2C2"	"AS2C3"	"S3C1"	"S3C2"	"S3C3"
"176"	"c53f4bc0f7b4fc249f29f4aa91cf18d8"	4	1	11	17	0	13	0	3	4	0	6	10	12	0	3	0	0	0	0	1	0
"177"	"8e4f08207a538c3b7270d1888a1de3e2"	10	12	0	0	0	0	0	0	0	0	13	14	14	0	16	0	4	2	0	0	0
"178"	"a6eee8551cc46b12bd1eb1e0a6a004f9"	4	4	5	4	3	2	10	4	14	4	0	8	7	0	5	0	4	0	3	0	3
"179"	"d0fc024b8ebef189078a1f21be6ee690"	7	9	0	10	9	11	0	0	0	9	8	0	4	7	10	0	0	0	0	0	0
"180"	"cef3a320fe738d76e186834861f0865d"	2	2	0	4	9	13	0	5	5	6	3	7	6	0	4	6	4	5	0	2	0
"181"	"831ab89ab34d6d74d0bc71ea3b8d4dc7"	12	3	0	15	9	3	0	0	0	14	7	8	2	0	0	1	9	0	0	0	0
"182"	"9a92b036b57fe5ad94c1949a94455616"	13	0	0	15	13	0	0	0	3	2	6	0	11	7	11	0	0	0	0	0	2
"183"	"c453222889ac15f1cdc57729aa469eb4"	0	0	0	0	0	3	4	13	13	3	4	7	0	4	1	10	0	3	3	8	7
"184"	"28acd7e6cbd35879fe6d4a0416db7b42"	36	3	12	0	3	2	0	0	0	9	3	8	0	5	0	0	2	0	0	0	0
"185"	"699b249fd070d0e97eda013919a27572"	0	0	3	1	1	8	7	3	3	2	4	2	3	1	3	0	5	10	5	16	6
